"SPECIES","NAME"
"S214","Plantago uniflora"
"S215","Polypodium vulgare"
"S216","Potamogeton gramineus"
"S217","Potamogeton natans"
"S218","Potentilla crantzii"
"S219","Prunella grandiflora"
"S220","Pteridium aquilinum"
"S221","Puccinellia distans"
"S222","Pulmonaria obscura"
"S223","Pyrola minor"
"S224","Pyrola rotundifolia"
"S225","Radiola linoides"
"S226","Ranunculus illyricus"
"S227","Ranunculus polyanthemos"
"S228","Rhododendron tomentosum"
"S229","Ribes alpinum"
"S230","Rorippa palustris"
"S231","Rosa majalis"
"S232","Rosa rubiginosa"
"S233","Rubus idaeus"
"S234","Rubus plicatus"
"S235","Rubus wahlbergii"
"S236","Rumex crispus var. oelandicus"
"S237","Rumex sanguineus"
"S238","Ruppia cirrhosa"
"S239","Salicornia europaea"
"S240","Salix pentandra"
"S241","Sanicula europaea"
"S242","Scandix pecten-veneris"
"S243","Schedonorus arundinaceus"
"S244","Schedonorus giganteus"
"S245","Schoenoplectus tabernaemontani"
"S246","Schoenus ferrugineus"
"S247","Sedum album"
"S248","Sedum rupestre"
"S249","Sedum sexangulare"
"S250","Senecio sylvaticus"
"S251","Seseli libanotis"
"S252","Setaria viridis"
"S253","Sherardia arvensis"
"S254","Sium latifolium"
"S255","Solidago virgaurea"
"S256","Sparganium emersum"
"S257","Sparganium erectum"
"S258","Sparganium natans"
"S259","Spergularia rubra"
"S260","Stachys palustris"
"S261","Stachys sylvatica"
"S262","Stellaria holostea"
"S263","Stellaria palustris"
"S264","Suaeda maritima"
"S265","Tanacetum vulgare"
"S266","Teesdalia nudicaulis"
"S267","Thalictrum flavum"
"S268","Thelypteris palustris"
"S269","Tilia cordata"
"S270","Tragopogon pratensis"
"S271","Trifolium fragiferum"
"S272","Trifolium striatum"
"S273","Triglochin maritima"
"S274","Trollius europaeus"
"S275","Ulmus glabra"
"S276","Ulmus laevis"
"S277","Ulmus minor"
"S278","Utricularia vulgaris"
"S279","Vaccinium myrtillus"
"S280","Vaccinium vitis-idaea"
"S281","Valeriana dioica"
"S282","Valerianella dentata"
"S283","Verbascum densiflorum"
"S284","Verbascum nigrum"
"S285","Veronica beccabunga"
"S286","Veronica persica"
"S287","Vicia tenuifolia"
"S288","Vincetoxicum hirundinaria"
"S289","Viola elatior"
"S290","Viola mirabilis"
"S291","Viola odorata"
"S292","Viola palustris"
"S293","Viola tricolor"
"S294","Viscaria alpina"
"S295","Viscaria vulgaris"
